State,Year,well_count
Central Equatoria,2016,3
Central Equatoria,2015,1
Western Bahr El Ghazal,2021,7
Western Bahr El Ghazal,2018,17
Western Bahr El Ghazal,2010,17
Western Bahr El Ghazal,2019,12
Western Bahr El Ghazal,2017,10
Western Bahr El Ghazal,2013,7
Western Bahr El Ghazal,2020,6
Western Bahr El Ghazal,2016,5
Western Bahr El Ghazal,2011,5
Western Bahr El Ghazal,2015,3
Western Bahr El Ghazal,2009,2
Western Bahr El Ghazal,2021,2
Western Bahr El Ghazal,2014,2
Western Bahr El Ghazal,2012,2
Western Bahr El Ghazal,2017,1
Western Bahr El Ghazal,2019,1
Warrap,2013,5
Warrap,2016,3
Warrap,2020,2
Warrap,2020,34
Warrap,2021,32
Warrap,2012,17
Warrap,2013,17
Warrap,2016,12
Warrap,2017,12
Warrap,2020,11
Warrap,2009,11
Warrap,2008,11
Warrap,2019,7
Warrap,2014,6
Warrap,2010,6
Warrap,2021,6
Warrap,2015,5
Warrap,2019,1
Warrap,2021,1
Warrap,2011,1
Northern Bahr El Ghazal,2018,21
Northern Bahr El Ghazal,2018,5
Northern Bahr El Ghazal,2018,1
Northern Bahr El Ghazal,2018,1
Warrap,2019,33
Warrap,2014,25
Warrap,2011,17
Warrap,2012,15
Warrap,2007,10
Warrap,2010,4
Warrap,2005,4
Warrap,2013,3
Warrap,2006,2
Warrap,2008,1
Western Bahr El Ghazal,2022,3
Western Bahr El Ghazal,2021,1
Warrap,2022,48
